Date_Collected,Site,Experiment,Block,Plot,Treatment2,Treatment,Species,ID,SLA,Leaf_Thickness_cm,Aboveground_Dry_Weight_g,Leaf_Number,Plant_Height_cm,Plant_Area,Focal_Root_Weight_g,Total_BeG_Weight_g,SRL,Root_Diam_Max,Root_Diam_Mean,F_Leaf_Stage,S_Leaf_Stage,E_Leaf_Stage,Flower_Number,E_Flower_Stage,F_Flower_Stage,S_Flower_Stage,Percent_N_AbG,Percent_C_AbG,Percent_N_BeG,Percent_C_BeG,Log_Focal_Root_Weight,Log_Total_BeG_Weight,Log_SRL,Notes
06_02_2021,KZA,Change,D,D31,10,10,Dichanthelium_oligosanthes,DO_Change_D31,63.75161326,0.02,0.6,13,28.8,1615.392,0.1491,3.141,7.223756539,0.068,0.023716817,8,2,3,2,0,2,0,,,,,-0.826522357,0.497067936,0.858763101,SC=15cm
06_02_2021,KZA,Change,D,D32,20,20,Dichanthelium_oligosanthes,DO_Change_D32,91.87155087,0.013333333,0.16,10,19.5,1843.335,0.0534,1.6435,13.50355805,0.042,0.027958706,5,2,3,1,1,0,0,,,,,-1.272458743,0.215769708,1.130448216,SC=15cm
06_02_2021,KZA,Change,E,E33,0,Control,Dichanthelium_oligosanthes,DO_Change_E33,82.99258569,0.02,0.25,10,23,973.82,0.4183,3.4897,5.229203921,0.089,0.026965328,5,2,3,1,0,1,0,,,,,-0.378512135,0.542788093,0.718435578,SC=12cm 
06_02_2021,KZA,Change,E,E34,20,20,Dichanthelium_oligosanthes,DO_Change_E34,77.22205958,0.02,0.34,9,22,886.16,0.5015,4.5126,3.438154536,0.262,0.046756774,6,,3,1,0,1,0,,,,,-0.299729063,0.654426839,0.536325393,
06_02_2021,KZA,Change,E,E37,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_E37,68.72032816,0.026666667,0.38,12,30.1,2265.326,0.1877,2.4307,6.308151305,0.128,0.03631059,7,3,2,1,0,1,0,,,,,-0.726535727,0.385731361,0.799902102,
06_02_2021,KZA,Change,E,E40,10,10,Dichanthelium_oligosanthes,DO_Change_E40,64.72731453,0.023333333,0.55,12,28.5,3543.12,0.2407,1.9326,9.662027005,0.073,0.032520957,9,,3,1,0,1,0,,,,,-0.61852391,0.286141975,0.985068247,
06_02_2021,KZA,Change,F,F41,20,20,Dichanthelium_oligosanthes,DO_Change_F41,82.71058887,0.026666667,0.37,19,26.9,4797.884,0.2516,1.5113,10.02455087,0.066,0.038327694,12,3,4,1,0,1,0,,,,,-0.599289363,0.179350682,1.001064924,
06_02_2021,KZA,Change,F,F44,10,10,Dichanthelium_oligosanthes,DO_Change_F44,69.73419209,0.026666667,0.66,10,40.8,9250.176,0.1492,3.7156,5.973147051,0.097,0.027469147,7,1,2,1,0,1,0,,,,,-0.826231177,0.570028954,0.776203207,
06_02_2021,KZA,Change,F,F45,0,Control,Dichanthelium_oligosanthes,DO_Change_F45,93.72020134,0.01,0.11,8,12.3,259.776,0.1264,5.684,4.569491535,0.114,0.028767966,4,2,2,0,0,0,0,,,,,-0.898252926,0.754654069,0.659867877,
06_02_2021,KZA,Change,F,F48,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_F48,75.20943189,0.023333333,0.74,15,31.8,2371.644,0.4956,1.4989,7.835391445,0.13,0.030439055,10,,5,1,0,1,0,,,,,-0.304868702,0.17577266,0.894060698,
06_21_2021,KZA,Pplots,,F1,0,Control,Ambrosia_psilostachya,AP_Pplots_F1,46.74779432,0.033333333,0.58,26,28,3593.52,0.1988,2.2913,2.87220337,0.20891045,0.045597695,9,9,7,0,0,0,0,,,,,-0.70158362,0.360081955,0.458215187,2 growing in 1
06_21_2021,KZA,Pplots,,E5,10,10,Ambrosia_psilostachya,AP_Plots_E5,67.0783542,0.04,NA,51,35.1,19366.776,0.2181,4.1494,4.391608207,0.2157603,0.03219523,17,3,30,0,0,0,0,,,,,-0.661344334,0.617985303,0.642623588,
06_21_2021,KZA,Pplots,,C5,0,Control,Ambrosia_psilostachya,AP_Pplots_C5,50.83117238,0.04,0.47,14,36.1,4982.522,0.0901,1.1409,7.055825416,0.13041505,0.024314892,8,2,4,0,0,0,0,,,,,-1.045275209,0.05724758,0.848547826,
06_21_2021,KZA,Pplots,,A5,0,Control,Ambrosia_psilostachya,AP_Plots_A5,,,,,,,,,,,,,,,,,,,,,,,,,,SAMPLE NOT COLLECTED
06_21_2021,KZA,Pplots,,D6,0,Control,Ambrosia_psilostachya,AP_Pplots_D6,122.1386447,0.01,0.06,8,14.1,215.73,0.0126,1.2999,9.33968254,0.088,0.021933379,6,2,NA,NA,NA,NA,NA,,,,,-1.899629455,0.113909944,0.970332115,seeding
06_21_2021,KZA,Pplots,,C6,0,Control,Ambrosia_psilostachya,AP_Pplots_C6,69.18784542,0.023333333,0.22,12,29.4,2480.184,0.027,0.864,12.97198259,0.11110702,0.023214556,8,2,2,NA,NA,NA,NA,,,,,-1.568636236,-0.063486258,1.113006357,
06_21_2021,KZA,Pplots,,B6,10,10,Ambrosia_psilostachya,AP_Pplots_B6,68.87074166,0.053333333,0.78,16,37.2,5791.296,0.1246,2.2629,9.052218299,0.21740058,0.031882152,2,4,10,NA,NA,NA,NA,,,,,-0.904481958,0.354665362,0.956755019,AP all over
06_21_2021,KZA,Pplots,,D7,10,10,Ambrosia_psilostachya,AP_Pplots_D7,105.7140019,0.03,0.47,21,30,5203.8,0.0962,0.8629,8.682127859,0.1416617,0.025469692,10,2,9,NA,NA,NA,NA,,,,,-1.016824928,-0.064039531,0.938626177,
06_21_2021,KZA,Pplots,,C7,10,10,Ambrosia_psilostachya,AP_Pplots_C7,69.41180318,0.04,0.5,14,38,5466.3,0.0686,1.7641,6.661574344,0.16666083,0.04052253,7,3,4,NA,NA,NA,NA,,,,,-1.163675884,0.2465232,0.823576879,AP all over
06_21_2021,KZA,Pplots,,B7,10,10,Ambrosia_psilostachya,AP_Pplots_B7,66.4678573,0.036666667,0.76,38,40.7,10730.148,0.1218,2.7934,4.868212397,0.20251541,0.027211718,14,2,22,NA,NA,NA,NA,,,,,-0.914352712,0.446133129,0.687369518,
06_21_2021,KZA,Pplots,,F8,0,Control,Ambrosia_psilostachya,AP_Pplots_F8,83.41602261,0.01,0.12,10,26.9,798.93,0.0255,1.8016,10.85610941,0.10199476,0.02091618,6,2,2,NA,NA,NA,NA,,,,,-1.59345982,0.255658373,1.035674212,
06_21_2021,KZA,Pplots,,E8,10,10,Ambrosia_psilostachya,AP_Pplots_E8,60.55369187,0.06,0.69,16,32.9,5554.836,0.1222,2.2725,3.407174877,0.22313681,0.051503584,8,4,4,NA,NA,NA,NA,,,,,-0.912928794,0.356503892,0.532394425,
06_21_2021,KZA,Nutnet,,4,0,Control ,Ambrosia_psilostachya,AP_Nutnet_4(S1),82.87078675,0.023333333,0.01,8,10.9,57.661,0.1257,1.2613,2.975716945,0.44529477,0.12644227,4,4,NA,NA,NA,NA,NA,,,,,-0.900664722,0.100818396,0.473591618,Seeding (6.5cm)
06_21_2021,KZA,Nutnet,,4,0,Control ,Ambrosia_psilostachya,AP_Nutnet_4(S2),116.1306306,0.02,0.01,6,10.5,180.18,0.0858,1.4316,4.655961189,0.2888889,0.039076716,3,1,2,NA,NA,NA,NA,,,,,-1.066512712,0.15582169,0.668009351,seeding (6.2cm)
06_21_2021,KZA,Nutnet,,5,10,10,Ambrosia_psilostachya,AP_Nutnet_5(S1),72.43598284,0.04,0.25,22,21.4,1791.608,0.0802,0.8128,15.09800499,0.15714286,0.020928403,6,4,12,NA,NA,NA,NA,,,,,-1.095825632,-0.090016305,1.178919565,11.4 soil cove
06_21_2021,KZA,Nutnet,,5,10,10,Ambrosia_psilostachya,AP_Nutnet_5(S2),45.63986679,0.05,0.26,22,24.3,2380.428,0.0982,2.0699,6.314235234,0.18938848,0.031027783,5,3,12,NA,NA,NA,NA,,,,,-1.007888512,0.315949365,0.800320757,14cm cove
06_21_2021,KZA,Nutnet,,14,10,10,Ambrosia_psilostachya,AP_Nutnet_14(S1),68.38848707,0.046666667,0.19,12,19.9,1654.884,0.0255,1.1398,6.333333333,0.10526015,0.023045259,6,,6,NA,NA,NA,NA,,,,,-1.59345982,0.056828653,0.801632346,
06_21_2021,KZA,Nutnet,,14,10,10,Ambrosia_psilostachya,AP_Nutnet_14(S2),67.18543668,0.053333333,0.95,55,24.3,4381.047,0.0859,1.2464,4.050528522,0.13632841,0.042654973,20,7,28,NA,NA,NA,NA,,,,,-1.066006836,0.09565744,0.607511695,
06_21_2021,KZA,Nutnet,,18,0,Control,Ambrosia_psilostachya,AP_Nutnet_18(S1),73.08341468,0.023333333,0.11,9,20.7,589.536,0.0527,2.8687,6.718705882,0.12405788,0.027225835,6,2,1,NA,NA,NA,NA,,,,,-1.278189385,0.457685133,0.82728563,
06_21_2021,KZA,Nutnet,,18,0,Control,Ambrosia_psilostachya,AP_Nutnet_18(S2),38.87157555,0.036666667,0.22,14,20.6,741.394,0.0429,1.5239,9.233993007,0.10142532,0.021063589,6,4,4,NA,NA,NA,NA,,,,,-1.367542708,0.182956469,0.965389541,
06_21_2021,KZA,Nutnet,,21,0,Control,Ambrosia_psilostachya,AP_Nutnet_21(S1),61.49654291,0.056666667,0.58,28,27.5,2946.9,0.1504,2.64,3.84894016,0.24626866,0.033454616,10,4,14,NA,NA,NA,NA,,,,,-0.822752164,0.421603927,0.585341159,legumes near (10.2 cove)
06_21_2021,KZA,Nutnet,,21,0,Control,Ambrosia_psilostachya,AP_Nutnet_21(S2),75.62432341,0.06,0.53,30,32.6,5366.938,0.0769,3.5173,4.74193368,0.1439227,0.03023343,9,1,20,NA,NA,NA,NA,,,,,-1.11407366,0.546209412,0.675955476,
06_21_2021,KZA,Nutnet,,25,10,10,Ambrosia_psilostachya,AP_Nutnet_25(S1),63.67631202,0.013333333,0.28,22,25.5,1312.74,0.0494,1.8015,3.631894737,0.115939006,0.033023417,6,8,8,NA,NA,NA,NA,,,,,-1.306273051,0.255634266,0.560133253,2 in 1 stem (12.2cm cove)
06_21_2021,KZA,Nutnet,,25,10,10,Ambrosia_psilostachya,AP_Nutnet_25(S2),76.09062817,0.016666667,0.03,10,18,501.84,0.0216,1.8553,5.174077778,0.08569463,0.024070246,6,4,NA,NA,NA,NA,NA,,,,,-1.665546249,0.268414145,0.713832953,13.2 cm cove
06_16_2021,KZA,Change,A,A2,20,20,Ambrosia_psilostachya,AP_Change_A2,41.66597668,0.076666667,2.05,51,32.4,6806.916,0.2596,3.9392,2.214869414,0.31024104,0.045196984,18,2,31,NA,NA,NA,NA,,,,,-0.585695312,0.595408031,0.345348126,
06_16_2021,KZA,Change,A,A3,10,10,Ambrosia_psilostachya,AP_Change_A3,105.8244662,0.033333333,0.08,14,23.5,1082.88,0.0212,2.5293,16.07973349,0.0854576,0.019972956,8,2,4,NA,NA,NA,NA,,,,,-1.673664139,0.403000344,1.206278846,Seeding? x
06_16_2021,KZA,Change,A,A6,0,Control,Ambrosia_psilostachya,AP_Change_A6,67.04244808,0.026666667,0.12,14,24.1,574.785,0.0283,4.6646,3.839013074,0.076271184,0.03125413,7,3,4,NA,NA,NA,NA,,,,,-1.548213564,0.668814408,0.584219591,Not seeding
06_16_2021,KZA,Change,A,A8,2.5,2.5,Ambrosia_psilostachya,AP_Change_A8,58.88856435,0.05,0.71,31,33.1,5593.238,0.0851,3.1645,2.362228437,0.16239317,0.046765074,12,3,16,NA,NA,NA,NA,,,,,-1.07007044,0.5003051,0.373321893,
06_16_2021,KZA,Change,B,B9,0,Control,Ambrosia_psilostachya,AP_Change_B9,44.82275555,0.053333333,0.31,14,22.6,1216.332,0.0369,1.0897,2.726279675,0.12930554,0.050407372,9,2,3,NA,NA,NA,NA,,,,,-1.432973634,0.037306951,0.435570406,
06_16_2021,KZA,Change,B,B10,2.5,2.5,Ambrosia_psilostachya,AP_Change_B10,53.32363825,0.056666667,0.37,24,22.8,2098.056,0.1173,1.8511,2.283326087,0.21235612,0.053115334,9,2,13,NA,NA,NA,NA,,,,,-0.930701988,0.267429881,0.358567939,
06_16_2021,KZA,Change,B,B12,20,20,Ambrosia_psilostachya,AP_Change_B12,52.18322845,0.043333333,0.41,22,30,4676.7,0.02,2.2836,9.45831,0.08927145,0.023453241,10,2,10,NA,NA,NA,NA,,,,,-1.698970004,0.358620034,0.975813544,
06_16_2021,KZA,Change,B,B15,10,10,Ambrosia_psilostachya,AP_Change_B15,51.94186736,0.05,0.46,19,30.6,2710.548,0.1343,1.5256,5.359701415,0.12015394,0.02667643,5,4,10,NA,NA,NA,NA,,,,,-0.871923987,0.18344068,0.729140596,
06_16_2021,KZA,Change,C,C18,20,20,Ambrosia_psilostachya,AP_Change_C18,39.96233588,0.08,1.32,55,30.1,6584.977,0.1307,1.6256,3.720380566,0.20509823,0.043996394,23,8,24,NA,NA,NA,NA,,,,,-0.883724412,0.211013691,0.570587367,Seeding
06_16_2021,KZA,Change,C,C19,10,10,Ambrosia_psilostachya,AP_Change_C19,35.92262873,0.05,1.18,31,32.4,5809.644,0.128,2.673,2.431122656,0.2947965,0.05406189,13,2,16,NA,NA,NA,NA,,,,,-0.89279003,0.426998959,0.385806871,
06_16_2021,KZA,Change,C,C21,0,Control,Ambrosia_psilostachya,AP_Change_C21,52.19814141,0.016666667,0.19,11,28.5,828.495,0.0387,4.2221,4.865354522,0.10740499,0.035817374,8,2,1,NA,NA,NA,NA,,,,,-1.412289035,0.625528515,0.687114491,
06_16_2021,KZA,Change,C,C22,2.5,2.5,Ambrosia_psilostachya,AP_Change_C22,71.96721553,0.016666667,0.1,11,16.9,458.666,0.0188,2.0194,8.882850532,0.08785493,0.021341057,4,4,3,NA,NA,NA,NA,,,,,-1.725842151,0.305222352,0.948552354,Seeding? x
06_16_2021,KZA,Change,D,D25,2.5,2.5,Ambrosia_psilostachya,AP_Change_D25,67.47170324,0.02,0.07,11,25.5,913.92,0.0234,3.7752,17.53363675,0.16523845,0.031295817,9,1,2,NA,NA,NA,NA,,,,,-1.630784143,0.576939964,1.243872005,
06_16_2021,KZA,Change,D,D30,0,Control,Ambrosia_psilostachya,AP_Change_D30,67.30903313,0.026666667,0.75,10,18.6,565.068,0.0261,1.6476,4.66473908,0.11403068,0.042480282,8,NA,2,NA,NA,NA,NA,,,,,-1.583359493,0.216851783,0.668827357,
06_16_2021,KZA,Change,D,D31,10,10,Ambrosia_psilostachya,AP_Change_D31,46.10518816,0.066666667,0.16,26,24.6,5279.652,0.079,2.9753,3.518275063,0.16947788,0.03609414,12,2,12,NA,NA,NA,NA,,,,,-1.102372909,0.473530762,0.54632979,
06_16_2021,KZA,Change,D,D32,20,20,Ambrosia_psilostachya,AP_Change_D32,58.53152119,0.043333333,0.35,20,30.2,2751.824,0.0431,5.4885,1.839907193,0.09789251,0.03647667,6,6,8,NA,NA,NA,NA,,,,,-1.36552273,0.739453669,0.264795917,
06_16_2021,KZA,Change,E,E33,0,Control,Ambrosia_psilostachya,AP_Change_E33,54.48558587,0.023333333,0.12,9,20.1,188.136,0.0784,1.4705,4.125373724,0.15813579,0.03508441,6,1,2,NA,NA,NA,NA,,,,,-1.105683937,0.167465029,0.615463298,rock; 6cm core
06_16_2021,KZA,Change,E,E34,20,20,Ambrosia_psilostachya,AP_Change_E34,45.67622879,0.066666667,0.13,54,31.6,7640.248,0.203,2.959,1.67654064,0.22806136,0.0556363,21,0,33,NA,NA,NA,NA,,,,,-0.692503962,0.471144965,0.224414085,rock; 6cm core
06_16_2021,KZA,Change,E,E37,2.5,2.5,Ambrosia_psilostachya,AP_Change_E37,44.57896401,0.083333333,1.66,12,23.7,1564.911,0.0424,2.8116,4.173913915,0.118103765,0.03376059,8,2,2,NA,NA,NA,NA,,,,,-1.372634143,0.448953535,0.620543488,sample found near edge 
06_16_2021,KZA,Change,E,E40,10,10,Ambrosia_psilostachya,AP_Change_E40,49.8291454,0.053333333,0.3,12,23.3,554.307,0.0182,1.8749,13.02152198,0.13332866,0.032374043,8,2,2,NA,NA,NA,NA,,,,,-1.739928612,0.272978109,1.114661748,couldnt find MC
06_16_2021,KZA,Change,F,F41,20,20,Ambrosia_psilostachya,AP_Change_F41,63.72195991,0.036666667,2.17,50,34.8,8161.296,0.1984,1.6543,2.848655746,0.23725416,0.05270508,23,2,25,NA,NA,NA,NA,,,,,-0.702458332,0.21861427,0.454639969,
