Date_Collected,Site,Experiment,Block,Plot,Treatment2,Treatment,Species,Region,ID,SLA,Leaf_Thickness_cm,Aboveground_Dry_Weight_g,Leaf_Number,S_Leaf_Stage,E_Leaf_Stage,F_Leaf_Stage,Flower_Number,E_Flower_Stage,F_Flower_Stage,S_Flower_Stage,Plant_Height_cm,Plant_Area_cm^2,Focal_Root_Weight_g,Total_Belowground_Weight_g,SRL,Root_Diam_Max,Root_Diam_Mean,Percent_N_AbG,Percent_C_AbG,Percent_N_BeG,Percent_C_BeG,Notes
05_26_2021,KZA,Nutnet,,18,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Nutnet_18(S1),103.4233359,0.01,0.05,6,0,1,5,1,1,NA,NA,18.9,933.66,0.0594,3.6742,10.75454545,0.075,0.027186412,2.07,41.57,0.32,47.27,sc=15cm
05_26_2021,KZA,Nutnet,,18,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Nutnet_18(S2),92.61473842,0.01,0.06,5,0,0,5,1,1,NA,NA,19.1,276.759,0.0512,3.9719,5.520637305,0.072,0.03588575,2.4,42.79,0.26,45.26,sc=15cm
05_26_2021,KZA,Nutnet,,21,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Nutnet_21(S1),90.57361594,0.01,0.26,7,1,1,5,1,1,NA,NA,21.7,2220.778,0.2182,1.1286,10.28299725,0.031,0.027593777,2.61,42.69,0.45,44.77,sc=15cm
05_26_2021,KZA,Nutnet,,21,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Nutnet_21(S2),95.03416389,0.01,0.03,4,1,0,4,1,1,,NA,16.5,373.23,0.1555,1.9153,9.792306752,0.053,0.034128323,2.25,42.23,0.35,47.9,sc=15cm
05_26_2021,KZA,Nutnet,,25,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Nutnet_25(S1),70.316084,0.01,0.57,16,1,3,12,1,NA,1,NA,32.4,8535.456,0.3929,2.9484,3.827987783,0.087,0.04676317,4.21,43.78,0.64,44.13,sc=15cm
05_26_2021,KZA,Nutnet,,25,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Nutnet_25(S2),60.59105861,0.01,0.16,10,2,2,6,1,NA,1,NA,21.9,2750.859,0.2496,1.7556,5.03125,0.113,0.04500264,3.24,43.13,1.03,42.83,sc=15cm
06_02_2021,KZA,Change,A,A2,20,20,Dichanthelium_oligosanthes,Aboveground,DO_Change_A2,97.83783195,0.013333333,0.19,14,4,4,6,1,1,N/A,NA,21,1121.61,0.0313,5.043,3.976994569,0.105,0.041334994,4.13,43.72,1.87,44.07,SC=15cm
06_02_2021,KZA,Change,A,A3,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Change_A3,94.4125128,0.01,0.18,10,3,2,5,1,N/A,1,NA,20,520.8,0.0291,0.8183,11.31088797,0.051,0.027688676,3.04,43.71,1.06,53.45,SC=15cm
06_02_2021,KZA,Change,A,A6,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Change_A6,72.56000564,0.01,0.14,7,2,1,4,1,1,N/A,NA,19.1,474.444,0.03,0.9865,25.54539667,0.09,0.023518832,1.78,44.54,0.7,41.4,SC=15cm
06_02_2021,KZA,Change,A,A8,2.5,2.5,Dichanthelium_oligosanthes,Aboveground,DO_Change_A8,73.33862544,0.02,0.5,13,3,3,7,1,N/A,1,NA,31.1,5092.936,0.0381,1.9835,22.24615906,0.096,0.031101188,2.63,44.43,0.73,44.72,SC=15cm
06_02_2021,KZA,Change,B,B9,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Change_B9,75.57191047,0.02,0.29,10,2,2,6,1,N/A,1,NA,31.2,1707.264,0.1401,4.1738,3.155771378,0.088,0.039995417,2.23,42.54,0.34,47.42,SC=15cm
06_02_2021,KZA,Change,B,B10,2.5,2.5,Dichanthelium_oligosanthes,Aboveground,DO_Change_B10,84.45130326,0.013333333,0.44,9,2,2,5,2,1,1,NA,26.1,1547.208,0.0202,2.3724,12.1112797,0.071,0.023796478,2.45,43.28,0.93,49.22,SC=15cm
06_02_2021,KZA,Change,B,B12,20,20,Dichanthelium_oligosanthes,Aboveground,DO_Change_B12,75.99429039,0.016666667,0.3,12,3,3,6,1,1,N/A,NA,26.2,2011.112,0.0601,1.1343,21.29902329,0.082,0.02353669,3.57,44.35,0.81,45.85,SC=15cm
06_02_2021,KZA,Change,B,B15,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Change_B15,73.86110774,0.023333333,0.1,11,4,3,7,0,N/A,N/A,NA,19.5,311.22,0.0237,0.5644,18.37221941,0.067,0.027980266,2.56,43.73,0.92,44.96,SC=15cm
06_02_2021,KZA,Change,C,C18,20,20,Dichanthelium_oligosanthes,Aboveground,DO_Change_C18,78.09564531,0.02,0.41,14,3,3,8,1,N/A,1,NA,31.1,1985.424,0.3636,1.4193,5.949764576,0.168,0.03255129,4.07,43.64,1.15,43.31,SC=15cm
06_02_2021,KZA,Change,C,C19,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Change_C19,62.14332007,0.023333333,0.67,13,1,2,10,1,N/A,1,NA,32.8,6141.8,0.5892,4.5915,4.694460285,0.049,0.03305574,3.63,44.02,0.57,45.83,"SC=15cm, 1 Leaf v. brown & dry"
06_02_2021,KZA,Change,C,C21,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Change_C21,73.5518726,0.02,0.38,11,2,3,6,1,N/A,1,NA,28.1,1416.24,0.2702,3.3259,4.70199852,0.102,0.034753088,2.07,42.34,0.52,44.31,SC=15cm
06_02_2021,KZA,Change,C,C22,2.5,2.5,Dichanthelium_oligosanthes,Aboveground,DO_Change_C22,87.92098417,0.016666667,0.28,13,3,3,7,1,N/A,1,NA,26.5,1030.32,0.2238,6.4943,9.950358803,0.191,0.026105167,1.95,41.79,0.46,43.59,SC=15cm
06_02_2021,KZA,Change,D,D25,2.5,2.5,Dichanthelium_oligosanthes,Aboveground,DO_Change_D25,66.5196332,0.013333333,0.26,10,2,2,6,1,1,N/A,NA,29.4,2095.632,0.1335,6.8372,10.02449438,0.059,0.025107393,2.2,43.09,0.63,46.17,SC=15cm
06_02_2021,KZA,Change,D,D30,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Change_D30,64.01216097,0.02,0.42,13,2,2,9,2,2,N/A,NA,30.1,2023.623,0.0696,3.6726,6.248030172,0.081,0.03390818,1.68,36.91,0.01,47.57,SC=15cm
06_02_2021,KZA,Change,D,D31,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Change_D31,63.75161326,0.02,0.6,13,2,3,8,2,N/A,2,NA,28.8,1615.392,0.1491,3.141,7.223756539,0.068,0.023716817,2.42,42.27,0.68,44.88,SC=15cm
06_02_2021,KZA,Change,D,D32,20,20,Dichanthelium_oligosanthes,Aboveground,DO_Change_D32,91.87155087,0.013333333,0.16,10,2,3,5,1,1,N/A,NA,19.5,1843.335,0.0534,1.6435,13.50355805,0.042,0.027958706,2.88,43.33,0.9,43.73,SC=15cm
06_02_2021,KZA,Change,E,E33,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Change_E33,82.99258569,0.02,0.25,10,2,3,5,1,NA,1,NA,23,973.82,0.4183,3.4897,5.229203921,0.089,0.026965328,1.93,43.19,0.45,44.68,SC=12cm 
06_02_2021,KZA,Change,E,E34,20,20,Dichanthelium_oligosanthes,Aboveground,DO_Change_E34,77.22205958,0.02,0.34,9,0,3,6,1,NA,1,NA,22,886.16,0.5015,4.5126,3.438154536,0.262,0.046756774,4.25,43.07,1.26,45.09,
06_02_2021,KZA,Change,E,E37,2.5,2.5,Dichanthelium_oligosanthes,Aboveground,DO_Change_E37,68.72032816,0.026666667,0.38,12,3,2,7,1,NA,1,NA,30.1,2265.326,0.1877,2.4307,6.308151305,0.128,0.03631059,2.2,42.37,0.5,45.93,
06_02_2021,KZA,Change,E,E40,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Change_E40,64.72731453,0.023333333,0.55,12,0,3,9,1,NA,1,NA,28.5,3543.12,0.2407,1.9326,9.662027005,0.073,0.032520957,2.9,43.56,0.62,45.02,
06_02_2021,KZA,Change,F,F41,20,20,Dichanthelium_oligosanthes,Aboveground,DO_Change_F41,82.71058887,0.026666667,0.37,19,3,4,12,1,NA,1,NA,26.9,4797.884,0.2516,1.5113,10.02455087,0.066,0.038327694,3.44,43.6,1.12,40.26,
06_02_2021,KZA,Change,F,F44,10,10,Dichanthelium_oligosanthes,Aboveground,DO_Change_F44,69.73419209,0.026666667,0.66,10,1,2,7,1,NA,1,NA,40.8,9250.176,0.1492,3.7156,5.973147051,0.097,0.027469147,3.64,44.48,0.69,44.96,
06_02_2021,KZA,Change,F,F45,0,Control,Dichanthelium_oligosanthes,Aboveground,DO_Change_F45,93.72020134,0.01,0.11,8,2,2,4,0,NA,NA,NA,12.3,259.776,0.1264,5.684,4.569491535,0.114,0.028767966,1.82,41.94,0.55,35.06,
06_02_2021,KZA,Change,F,F48,2.5,2.5,Dichanthelium_oligosanthes,Aboveground,DO_Change_F48,75.20943189,0.023333333,0.74,15,0,5,10,1,NA,1,NA,31.8,2371.644,0.4956,1.4989,7.835391445,0.13,0.030439055,1.97,42.76,0.43,45.36,
06_21_2021,KZA,Pplots,,F1,0,Control,Ambrosia_psilostachya,Aboveground,AP_Pplots_F1,46.74779432,0.033333333,0.58,26,9,7,9,NA,NA,NA,NA,28,3593.52,0.1988,2.2913,2.87220337,0.20891045,0.045597695,2.05,39.5,0.93,42.17,2 growing in 1
06_21_2021,KZA,Pplots,,E5,10,10,Ambrosia_psilostachya,Aboveground,AP_Plots_E5,67.0783542,0.04,,51,3,30,17,NA,NA,NA,NA,35.1,19366.776,0.2181,4.1494,4.391608207,0.2157603,0.03219523,4.54,41.06,1.14,44.68,
06_21_2021,KZA,Pplots,,C5,0,Control,Ambrosia_psilostachya,Aboveground,AP_Pplots_C5,50.83117238,0.04,0.47,14,2,4,8,NA,NA,NA,NA,36.1,4982.522,0.0901,1.1409,7.055825416,0.13041505,0.024314892,2.95,40.34,0.88,45.17,
06_21_2021,KZA,Pplots,,A5,0,Control,Ambrosia_psilostachya,Aboveground,AP_Plots_A5,,,,,,,,,,,,,,,,,,,,,,,SAMPLE NOT COLLECTED
06_21_2021,KZA,Pplots,,D6,0,Control,Ambrosia_psilostachya,Aboveground,AP_Pplots_D6,122.1386447,0.01,0.06,8,2,0,6,NA,NA,NA,NA,14.1,215.73,0.0126,1.2999,9.33968254,0.088,0.021933379,2.96,41.55,0.61,45.94,seeding
06_21_2021,KZA,Pplots,,C6,0,Control,Ambrosia_psilostachya,Aboveground,AP_Pplots_C6,69.18784542,0.023333333,0.22,12,2,2,8,NA,NA,NA,NA,29.4,2480.184,0.027,0.864,12.97198259,0.11110702,0.023214556,2.25,38.07,0.65,45.42,
06_21_2021,KZA,Pplots,,B6,10,10,Ambrosia_psilostachya,Aboveground,AP_Pplots_B6,68.87074166,0.053333333,0.78,16,4,10,2,NA,NA,NA,NA,37.2,5791.296,0.1246,2.2629,9.052218299,0.21740058,0.031882152,4.54,42.2,1.64,44.08,AP all over
06_21_2021,KZA,Pplots,,D7,10,10,Ambrosia_psilostachya,Aboveground,AP_Pplots_D7,105.7140019,0.03,0.47,21,2,9,10,NA,NA,NA,NA,30,5203.8,0.0962,0.8629,8.682127859,0.1416617,0.025469692,5.49,41.14,1.44,44.52,
06_21_2021,KZA,Pplots,,C7,10,10,Ambrosia_psilostachya,Aboveground,AP_Pplots_C7,69.41180318,0.04,0.5,14,3,4,7,NA,NA,NA,NA,38,5466.3,0.0686,1.7641,6.661574344,0.16666083,0.04052253,5.34,38.33,1.58,45.11,AP all over
06_21_2021,KZA,Pplots,,B7,10,10,Ambrosia_psilostachya,Aboveground,AP_Pplots_B7,66.4678573,0.036666667,0.76,38,2,22,14,NA,NA,NA,NA,40.7,10730.148,0.1218,2.7934,4.868212397,0.20251541,0.027211718,5.67,40.35,1.16,45.72,
06_21_2021,KZA,Pplots,,F8,0,Control,Ambrosia_psilostachya,Aboveground,AP_Pplots_F8,83.41602261,0.01,0.12,10,2,2,6,NA,NA,NA,NA,26.9,798.93,0.0255,1.8016,10.85610941,0.10199476,0.02091618,5.12,41.29,0.92,43.15,
06_21_2021,KZA,Pplots,,E8,10,10,Ambrosia_psilostachya,Aboveground,AP_Pplots_E8,60.55369187,0.06,0.69,16,4,4,8,NA,NA,NA,NA,32.9,5554.836,0.1222,2.2725,3.407174877,0.22313681,0.051503584,1.98,39.6,1.22,45.73,
06_21_2021,KZA,Nutnet,,4,0,Control ,Ambrosia_psilostachya,Aboveground,AP_Nutnet_4(S1),82.87078675,0.023333333,0.01,8,4,0,4,NA,NA,NA,NA,10.9,57.661,0.1257,1.2613,2.975716945,0.44529477,0.12644227,2.28,39.91,0.34,43.72,Seeding (6.5cm)
06_21_2021,KZA,Nutnet,,4,0,Control ,Ambrosia_psilostachya,Aboveground,AP_Nutnet_4(S2),116.1306306,0.02,0.01,6,1,2,3,NA,NA,NA,NA,10.5,180.18,0.0858,1.4316,4.655961189,0.2888889,0.039076716,2.15,36.63,0.48,45.26,seeding (6.2cm)
06_21_2021,KZA,Nutnet,,5,10,10,Ambrosia_psilostachya,Aboveground,AP_Nutnet_5(S1),72.43598284,0.04,0.25,22,4,12,6,NA,NA,NA,NA,21.4,1791.608,0.0802,0.8128,15.09800499,0.15714286,0.020928403,4.92,40.47,1.61,43.91,11.4 soil cove
06_21_2021,KZA,Nutnet,,5,10,10,Ambrosia_psilostachya,Aboveground,AP_Nutnet_5(S2),45.63986679,0.05,0.26,22,3,12,5,NA,NA,NA,NA,24.3,2380.428,0.0982,2.0699,6.314235234,0.18938848,0.031027783,3.57,37.41,1.51,44.93,14cm cove
06_21_2021,KZA,Nutnet,,14,10,10,Ambrosia_psilostachya,Aboveground,AP_Nutnet_14(S1),68.38848707,0.046666667,0.19,12,0,6,6,NA,NA,NA,NA,19.9,1654.884,0.0255,1.1398,6.333333333,0.10526015,0.023045259,4.56,39.66,1.75,44.96,
06_21_2021,KZA,Nutnet,,14,10,10,Ambrosia_psilostachya,Aboveground,AP_Nutnet_14(S2),67.18543668,0.053333333,0.95,55,7,28,20,NA,NA,NA,NA,24.3,4381.047,0.0859,1.2464,4.050528522,0.13632841,0.042654973,5.29,37.28,1.52,46.67,
06_21_2021,KZA,Nutnet,,18,0,Control,Ambrosia_psilostachya,Aboveground,AP_Nutnet_18(S1),73.08341468,0.023333333,0.11,9,2,1,6,NA,NA,NA,NA,20.7,589.536,0.0527,2.8687,6.718705882,0.12405788,0.027225835,2.1,38.62,0.65,44.9,
06_21_2021,KZA,Nutnet,,18,0,Control,Ambrosia_psilostachya,Aboveground,AP_Nutnet_18(S2),38.87157555,0.036666667,0.22,14,4,4,6,NA,NA,NA,NA,20.6,741.394,0.0429,1.5239,9.233993007,0.10142532,0.021063589,1.91,38.83,1.04,44.37,
06_21_2021,KZA,Nutnet,,21,0,Control,Ambrosia_psilostachya,Aboveground,AP_Nutnet_21(S1),61.49654291,0.056666667,0.58,28,4,14,10,NA,NA,NA,NA,27.5,2946.9,0.1504,2.64,3.84894016,0.24626866,0.033454616,5.21,36.51,1.36,44.06,legumes near (10.2 cove)
06_21_2021,KZA,Nutnet,,21,0,Control,Ambrosia_psilostachya,Aboveground,AP_Nutnet_21(S2),75.62432341,0.06,0.53,30,1,20,9,NA,NA,NA,NA,32.6,5366.938,0.0769,3.5173,4.74193368,0.1439227,0.03023343,4.42,37.62,1.35,44.91,
06_21_2021,KZA,Nutnet,,25,10,10,Ambrosia_psilostachya,Aboveground,AP_Nutnet_25(S1),63.67631202,0.013333333,0.28,22,8,8,6,NA,NA,NA,NA,25.5,1312.74,0.0494,1.8015,3.631894737,0.115939006,0.033023417,1.9,39,0.64,42.62,2 in 1 stem (12.2cm cove)
06_21_2021,KZA,Nutnet,,25,10,10,Ambrosia_psilostachya,Aboveground,AP_Nutnet_25(S2),76.09062817,0.016666667,0.03,10,4,0,6,NA,NA,NA,NA,18,501.84,0.0216,1.8553,5.174077778,0.08569463,0.024070246,1.84,39.3,0.91,43.33,13.2 cm cove
06_16_2021,KZA,Change,A,A2,20,20,Ambrosia_psilostachya,Aboveground,AP_Change_A2,41.66597668,0.076666667,2.05,51,2,31,18,NA,NA,NA,NA,32.4,6806.916,0.2596,3.9392,2.214869414,0.31024104,0.045196984,3.62,41.55,1.88,45.64,
06_16_2021,KZA,Change,A,A3,10,10,Ambrosia_psilostachya,Aboveground,AP_Change_A3,105.8244662,0.033333333,0.08,14,2,4,8,NA,NA,NA,NA,23.5,1082.88,0.0212,2.5293,16.07973349,0.0854576,0.019972956,4.67,39.24,1.69,48.61,Seeding? x
06_16_2021,KZA,Change,A,A6,0,Control,Ambrosia_psilostachya,Aboveground,AP_Change_A6,67.04244808,0.026666667,0.12,14,3,4,7,NA,NA,NA,NA,24.1,574.785,0.0283,4.6646,3.839013074,0.076271184,0.03125413,1.91,36.9,0.83,40.81,Not seeding
06_16_2021,KZA,Change,A,A8,2.5,2.5,Ambrosia_psilostachya,Aboveground,AP_Change_A8,58.88856435,0.05,0.71,31,3,16,12,NA,NA,NA,NA,33.1,5593.238,0.0851,3.1645,2.362228437,0.16239317,0.046765074,3.8,38.55,0.91,45.74,
06_16_2021,KZA,Change,B,B9,0,Control,Ambrosia_psilostachya,Aboveground,AP_Change_B9,44.82275555,0.053333333,0.31,14,2,3,9,NA,NA,NA,NA,22.6,1216.332,0.0369,1.0897,2.726279675,0.12930554,0.050407372,2.07,35.52,0.64,46.01,
06_16_2021,KZA,Change,B,B10,2.5,2.5,Ambrosia_psilostachya,Aboveground,AP_Change_B10,53.32363825,0.056666667,0.37,24,2,13,9,NA,NA,NA,NA,22.8,2098.056,0.1173,1.8511,2.283326087,0.21235612,0.053115334,3.08,40.09,1.31,44.44,
06_16_2021,KZA,Change,B,B12,20,20,Ambrosia_psilostachya,Aboveground,AP_Change_B12,52.18322845,0.043333333,0.41,22,2,10,10,NA,NA,NA,NA,30,4676.7,0.02,2.2836,9.45831,0.08927145,0.023453241,3.32,38.09,1.12,48.38,
06_16_2021,KZA,Change,B,B15,10,10,Ambrosia_psilostachya,Aboveground,AP_Change_B15,51.94186736,0.05,0.46,19,4,10,5,NA,NA,NA,NA,30.6,2710.548,0.1343,1.5256,5.359701415,0.12015394,0.02667643,3.58,39.54,1.63,44.43,
06_16_2021,KZA,Change,C,C18,20,20,Ambrosia_psilostachya,Aboveground,AP_Change_C18,39.96233588,0.08,1.32,55,8,24,23,NA,NA,NA,NA,30.1,6584.977,0.1307,1.6256,3.720380566,0.20509823,0.043996394,4.37,39.79,1.43,44.77,Seeding
06_16_2021,KZA,Change,C,C19,10,10,Ambrosia_psilostachya,Aboveground,AP_Change_C19,35.92262873,0.05,1.18,31,2,16,13,NA,NA,NA,NA,32.4,5809.644,0.128,2.673,2.431122656,0.2947965,0.05406189,3.39,38.27,1.8,44.05,
06_16_2021,KZA,Change,C,C21,0,Control,Ambrosia_psilostachya,Aboveground,AP_Change_C21,52.19814141,0.016666667,0.19,11,2,1,8,NA,NA,NA,NA,28.5,828.495,0.0387,4.2221,4.865354522,0.10740499,0.035817374,2.1,38.33,0.73,43.34,
06_16_2021,KZA,Change,C,C22,2.5,2.5,Ambrosia_psilostachya,Aboveground,AP_Change_C22,71.96721553,0.016666667,0.1,11,4,3,4,NA,NA,NA,NA,16.9,458.666,0.0188,2.0194,8.882850532,0.08785493,0.021341057,2.84,38.3,2.14,44.27,Seeding? x
06_16_2021,KZA,Change,D,D25,2.5,2.5,Ambrosia_psilostachya,Aboveground,AP_Change_D25,67.47170324,0.02,0.07,11,1,2,9,NA,NA,NA,NA,25.5,913.92,0.0234,3.7752,17.53363675,0.16523845,0.031295817,3.02,38.57,0.91,44.23,
06_16_2021,KZA,Change,D,D30,0,Control,Ambrosia_psilostachya,Aboveground,AP_Change_D30,67.30903313,0.026666667,0.75,10,0,2,8,NA,NA,NA,NA,18.6,565.068,0.0261,1.6476,4.66473908,0.11403068,0.042480282,2.6,37.61,0.69,44.68,
06_16_2021,KZA,Change,D,D31,10,10,Ambrosia_psilostachya,Aboveground,AP_Change_D31,46.10518816,0.066666667,0.16,26,2,12,12,NA,NA,NA,NA,24.6,5279.652,0.079,2.9753,3.518275063,0.16947788,0.03609414,3.82,38.78,1.53,44.17,
06_16_2021,KZA,Change,D,D32,20,20,Ambrosia_psilostachya,Aboveground,AP_Change_D32,58.53152119,0.043333333,0.35,20,6,8,6,NA,NA,NA,NA,30.2,2751.824,0.0431,5.4885,1.839907193,0.09789251,0.03647667,4.11,37.06,1.29,45.24,
06_16_2021,KZA,Change,E,E33,0,Control,Ambrosia_psilostachya,Aboveground,AP_Change_E33,54.48558587,0.023333333,0.12,9,1,2,6,NA,NA,NA,NA,20.1,188.136,0.0784,1.4705,4.125373724,0.15813579,0.03508441,1.64,37.95,1.01,44.71,rock; 6cm core
06_16_2021,KZA,Change,E,E34,20,20,Ambrosia_psilostachya,Aboveground,AP_Change_E34,45.67622879,0.066666667,0.13,54,0,33,21,NA,NA,NA,NA,31.6,7640.248,0.203,2.959,1.67654064,0.22806136,0.0556363,3.5,39.98,1.16,45.12,rock; 6cm core
06_16_2021,KZA,Change,E,E37,2.5,2.5,Ambrosia_psilostachya,Aboveground,AP_Change_E37,44.57896401,0.083333333,1.66,12,2,2,8,NA,NA,NA,NA,23.7,1564.911,0.0424,2.8116,4.173913915,0.118103765,0.03376059,1.99,35.69,1.04,43.97,sample found near edge 
06_16_2021,KZA,Change,E,E40,10,10,Ambrosia_psilostachya,Aboveground,AP_Change_E40,49.8291454,0.053333333,0.3,12,2,2,8,NA,NA,NA,NA,23.3,554.307,0.0182,1.8749,13.02152198,0.13332866,0.032374043,2.58,37.64,1.4,47.67,couldnt find MC
06_16_2021,KZA,Change,F,F41,20,20,Ambrosia_psilostachya,Aboveground,AP_Change_F41,63.72195991,0.036666667,2.17,50,2,25,23,NA,NA,NA,NA,34.8,8161.296,0.1984,1.6543,2.848655746,0.23725416,0.05270508,3.91,39.56,1.65,43.67,
