Date_Collected,Experiment,Plot,Treatment,Species,ID,Dry_Leaf_Weight_g,Wet_Leaf_Weight_g,Leaf_Thickness_mm,Log_Leaf_Thickness_mm,Leaf_Area_cm,,LDMC,SLA,Notes,ID_temp,Avg,,,,
5_24_2021,Pplots,F8,Control,Dichanthelium_oligosanthes,DO_Pplots_f8_C,0.0125,0.0526,0.01,-2,1.20396,,0.237642586,96.3168,,DO_Change_C18,#DIV/0!,,,,
5_24_2021,Pplots,E8,10,Dichanthelium_oligosanthes,DO_Pplots_e8_A,0.0273,0.1246,0.01,-2,2.9845,,0.219101124,109.3223443,,DO_Change_C19,#DIV/0!,,,,
5_24_2021,Pplots,E8,10,Dichanthelium_oligosanthes,DO_Pplots_e8_B,0.0142,0.0686,0.01,-2,2.0955,,0.206997085,147.5704225,,DO_Change_C21,#DIV/0!,,,,
5_24_2021,Pplots,E8,10,Dichanthelium_oligosanthes,DO_Pplots_e8_C,0.0228,0.1039,0.01,-2,1.778,,0.219441771,77.98245614,,DO_Change_C22,#DIV/0!,,,,
5_26_2021,Nutnet,4,Control,Dichanthelium_oligosanthes,DO_Nutnet_4(S1)_A,0.0164,0.0772,0.01,-2,1.7653,,0.212435233,107.6402439,,DO_Change_D25,#DIV/0!,,,,
5_26_2021,Nutnet,4,Control,Dichanthelium_oligosanthes,DO_Nutnet_4(S1)_B,0.0194,0.083,0.01,-2,1.94056,,0.23373494,100.028866,,DO_Change_D30,#DIV/0!,,,,
5_26_2021,Nutnet,4,Control,Dichanthelium_oligosanthes,DO_Nutnet_4(S1)_C,0.0176,0.076,0.01,-2,1.61036,,0.231578947,91.49772727,,DO_Change_D31,#DIV/0!,,,,
5_26_2021,Nutnet,4,Control,Dichanthelium_oligosanthes,DO_Nutnet_4(S2)_A,0.0346,0.1297,0.01,-2,2.49428,,0.266769468,72.08901734,,DO_Change_D32,#DIV/0!,,,,
5_26_2021,Nutnet,4,Control,Dichanthelium_oligosanthes,DO_Nutnet_4(S2)_B,0.033,0.1303,0.01,-2,2.72288,,0.253261704,82.51151515,,DO_Change_E33,#DIV/0!,,,,
5_26_2021,Nutnet,4,Control,Dichanthelium_oligosanthes,DO_Nutnet_4(S2)_C,0.0281,0.1188,0.01,-2,2.3241,,0.236531987,82.70818505,,DO_Change_E34,#DIV/0!,,,,
5_26_2021,Nutnet,5,10,Dichanthelium_oligosanthes,DO_Nutnet_5(S1)_A,0.014,0.0745,0.01,-2,2.0955,,0.187919463,149.6785714,,DO_Change_E37,#DIV/0!,,,,
5_26_2021,Nutnet,5,10,Dichanthelium_oligosanthes,DO_Nutnet_5(S1)_B,0.0232,0.0933,0.01,-2,2.15646,,0.248660236,92.95086207,,DO_Change_E40,#DIV/0!,,,,
5_26_2021,Nutnet,5,10,Dichanthelium_oligosanthes,DO_Nutnet_5(S1)_C,0.035,0.1574,0.01,-2,2.667,,0.222363405,76.2,,DO_Change_F41,#DIV/0!,,,,
5_26_2021,Nutnet,5,10,Dichanthelium_oligosanthes,DO_Nutnet_5(S2)_A,0.0403,0.1476,0.01,-2,2.78638,,0.27303523,69.14094293,,DO_Change_F44,#DIV/0!,,,,
5_26_2021,Nutnet,5,10,Dichanthelium_oligosanthes,DO_Nutnet_5(S2)_B,0.0326,0.1173,0.01,-2,2.51206,,0.277919864,77.05705521,,DO_Change_F45,#DIV/0!,,,,
5_26_2021,Nutnet,5,10,Dichanthelium_oligosanthes,DO_Nutnet_5(S2)_C,0.0346,0.1405,0.01,-2,2.794,,0.246263345,80.75144509,,DO_Change_F48,#DIV/0!,,,,
5_26_2021,Nutnet,14,10,Dichanthelium_oligosanthes,DO_Nutnet_14(S1)_A,0.0245,0.0845,0.01,-2,1.81864,,0.289940828,74.23020408,,AP_Pplots_F1,#DIV/0!,,,,
5_26_2021,Nutnet,14,10,Dichanthelium_oligosanthes,DO_Nutnet_14(S1)_B,0.0117,0.0561,0.01,-2,1.1684,,0.20855615,99.86324786,,AP_Pplots_F1,#DIV/0!,,,,
5_26_2021,Nutnet,14,10,Dichanthelium_oligosanthes,DO_Nutnet_14(S1)_C,0.0057,0.0352,0.01,-2,0.96774,,0.161931818,169.7789474,,AP_Pplots_C5,#DIV/0!,,,,
5_26_2021,Nutnet,14,10,Dichanthelium_oligosanthes,DO_Nutnet_14(S2)_A,0.0326,0.1214,0.01,-2,2.39522,,0.268533773,73.47300613,,AP_Plots_E5,#DIV/0!,,,,
5_26_2021,Nutnet,14,10,Dichanthelium_oligosanthes,DO_Nutnet_14(S2)_B,0.0125,0.0669,0.01,-2,1.74244,,0.186846039,139.3952,,AP_Pplots_C6,#DIV/0!,,,,
5_26_2021,Nutnet,14,10,Dichanthelium_oligosanthes,DO_Nutnet_14(S2)_C,0.0257,0.1133,0.01,-2,2.20472,,0.226831421,85.78677043,,AP_Pplots_D6,#DIV/0!,,,,
5_26_2021,Nutnet,18,Control,Dichanthelium_oligosanthes,DO_Nutnet_18(S1)_A,0.0133,0.0635,0.01,-2,1.82626,,0.209448819,137.312782,,AP_Pplots_B7,#DIV/0!,,,,
5_26_2021,Nutnet,18,Control,Dichanthelium_oligosanthes,DO_Nutnet_18(S1)_B,0.0235,0.0849,0.01,-2,2.0955,,0.276796231,89.17021277,,AP_Pplots_C7,#DIV/0!,,,,
5_26_2021,Nutnet,18,Control,Dichanthelium_oligosanthes,DO_Nutnet_18(S1)_C,0.0231,0.0851,0.01,-2,1.93548,,0.271445358,83.78701299,,AP_Pplots_D7,#DIV/0!,,,,
5_26_2021,Nutnet,18,Control,Dichanthelium_oligosanthes,DO_Nutnet_18(S2)_A,0.0244,0.0973,0.01,-2,2.3241,,0.250770812,95.25,,AP_Pplots_E8,#DIV/0!,,,,
5_26_2021,Nutnet,18,Control,Dichanthelium_oligosanthes,DO_Nutnet_18(S2)_B,0.0261,0.1011,0.01,-2,2.30632,,0.258160237,88.36475096,,AP_Pplots_F8,#DIV/0!,,,,
5_26_2021,Nutnet,18,Control,Dichanthelium_oligosanthes,DO_Nutnet_18(S2)_C,0.0224,0.0882,0.01,-2,2.11074,,0.253968254,94.22946429,,AP_Pplots_B6,#DIV/0!,,,,
5_26_2021,Nutnet,21,Control,Dichanthelium_oligosanthes,DO_Nutnet_21(S1)_A,0.0304,0.1126,0.01,-2,2.97688,,0.269982238,97.92368421,,AP_Nutnet_4(S1),#DIV/0!,,,,
5_26_2021,Nutnet,21,Control,Dichanthelium_oligosanthes,DO_Nutnet_21(S1)_B,0.0415,0.1443,0.01,-2,3.25882,,0.287595288,78.52578313,,AP_Nutnet_4(S2),#DIV/0!,,,,
5_26_2021,Nutnet,21,Control,Dichanthelium_oligosanthes,DO_Nutnet_21(S1)_C,0.0297,0.1295,0.01,-2,2.82956,,0.229343629,95.27138047,,AP_Nutnet_5(S1),#DIV/0!,,,,
5_26_2021,Nutnet,21,Control,Dichanthelium_oligosanthes,DO_Nutnet_21(S2)_A,0.0207,0.067,0.01,-2,1.75514,,0.308955224,84.78937198,,AP_Nutnet_5(S2),#DIV/0!,,,,
5_26_2021,Nutnet,21,Control,Dichanthelium_oligosanthes,DO_Nutnet_21(S2)_B,0.0151,0.0529,0.01,-2,1.5113,,0.285444234,100.0860927,,AP_Nutnet_14(S1),#DIV/0!,,,,
5_26_2021,Nutnet,21,Control,Dichanthelium_oligosanthes,DO_Nutnet_21(S2)_C,0.0185,0.0627,0.01,-2,1.8542,,0.295055821,100.227027,,AP_Nutnet_14(S2),#DIV/0!,,,,
5_26_2021,Nutnet,25,10,Dichanthelium_oligosanthes,DO_Nutnet_25(S1)_A,0.0981,0.2934,0.01,-2,5.21716,,0.334355828,53.18205912,,AP_Nutnet_18(S1),#DIV/0!,,,,
5_26_2021,Nutnet,25,10,Dichanthelium_oligosanthes,DO_Nutnet_25(S1)_B,0.0594,0.225,0.01,-2,3.89128,,0.264,65.50976431,,AP_Nutnet_18(S2),#DIV/0!,,,,
5_26_2021,Nutnet,25,10,Dichanthelium_oligosanthes,DO_Nutnet_25(S1)_C,0.028,0.1164,0.01,-2,2.58318,,0.240549828,92.25642857,,AP_Nutnet_21(S1),#DIV/0!,,,,
5_26_2021,Nutnet,25,10,Dichanthelium_oligosanthes,DO_Nutnet_25(S2)_A,0.0671,0.1654,0.01,-2,3.05308,,0.405683192,45.50044709,,AP_Nutnet_21(S2),#DIV/0!,,,,
5_26_2021,Nutnet,25,10,Dichanthelium_oligosanthes,DO_Nutnet_25(S2)_B,0.0302,0.1137,0.01,-2,2.6289,,0.265611258,87.04966887,,AP_Nutnet_25(S1),#DIV/0!,,,,
5_26_2021,Nutnet,25,10,Dichanthelium_oligosanthes,DO_Nutnet_25(S2)_C,0.0451,0.1201,0.01,-2,2.21996,,0.3755204,49.22305987,,AP_Nutnet_25(S2),#DIV/0!,,,,
06_02_2021,Change,A2,20,Dichanthelium_oligosanthes,DO_Change_A2_A,0.0351,0.1,0.02,-1.698970004,2.66446,,0.351,75.91054131,,AP_Change_A2,#DIV/0!,,,,
06_02_2021,Change,A2,20,Dichanthelium_oligosanthes,DO_Change_A2_B,0.016,0.05,0.01,-2,2.07772,,0.32,129.8575,,AP_Change_A3,#DIV/0!,,,,
06_02_2021,Change,A2,20,Dichanthelium_oligosanthes,DO_Change_A2_C,0.0286,0.1,0.01,-2,2.50952,,0.286,87.74545455,,AP_Change_A6,#DIV/0!,,,,
06_02_2021,Change,A3,10,Dichanthelium_oligosanthes,DO_Change_A3_A,0.012,0.01,0.01,-2,0.94742,,1.2,78.95166667,,AP_Change_A8,#DIV/0!,,,,
06_02_2021,Change,A3,10,Dichanthelium_oligosanthes,DO_Change_A3_B,0.0191,0.02,0.01,-2,1.74244,,0.955,91.22722513,,AP_Change_B9,#DIV/0!,,,,
06_02_2021,Change,A3,10,Dichanthelium_oligosanthes,DO_Change_A3_C,0.0133,0.04,0.01,-2,1.50368,,0.3325,113.0586466,,AP_Change_B10,#DIV/0!,,,,
06_02_2021,Change,A6,Control,Dichanthelium_oligosanthes,DO_Change_A6_A,0.0132,0.02,0.01,-2,1.04902,,0.66,79.47121212,,AP_Change_B12,#DIV/0!,,,,
06_02_2021,Change,A6,Control,Dichanthelium_oligosanthes,DO_Change_A6_B,0.0198,0.05,0.01,-2,1.3208,,0.396,66.70707071,,AP_Change_B15,#DIV/0!,,,,
06_02_2021,Change,A6,Control,Dichanthelium_oligosanthes,DO_Change_A6_C,0.0173,0.05,0.01,-2,1.23698,,0.346,71.5017341,,AP_Change_C18,#DIV/0!,,,,
06_02_2021,Change,A8,2.5,Dichanthelium_oligosanthes,DO_Change_A8_A,0.0196,0.03,0.02,-1.698970004,1.35128,,0.653333333,68.94285714,,AP_Change_C19,#DIV/0!,,,,
06_02_2021,Change,A8,2.5,Dichanthelium_oligosanthes,DO_Change_A8_B,0.0276,0.07,0.02,-1.698970004,2.29108,,0.394285714,83.01014493,,AP_Change_C21,#DIV/0!,,,,
06_02_2021,Change,A8,2.5,Dichanthelium_oligosanthes,DO_Change_A8_C,0.0334,0.08,0.02,-1.698970004,2.2733,,0.4175,68.06287425,,AP_Change_C22,#DIV/0!,,,,
06_02_2021,Change,B9,Control,Dichanthelium_oligosanthes,DO_Change_B9_A,0.0187,0.03,0.02,-1.698970004,1.24968,,0.623333333,66.82780749,,AP_Change_D25,#DIV/0!,,,,
06_02_2021,Change,B9,Control,Dichanthelium_oligosanthes,DO_Change_B9_B,0.0239,0.06,0.02,-1.698970004,2.18186,,0.398333333,91.29121339,,AP_Change_D30,#DIV/0!,,,,
06_02_2021,Change,B9,Control,Dichanthelium_oligosanthes,DO_Change_B9_C,0.0304,0.06,0.02,-1.698970004,2.08534,,0.506666667,68.59671053,,AP_Change_D31,#DIV/0!,,,,
06_02_2021,Change,B10,2.5,Dichanthelium_oligosanthes,DO_Change_B10_A,0.0156,0.02,0.01,-2,1.15316,,0.78,73.92051282,,AP_Change_D32,#DIV/0!,,,,
06_02_2021,Change,B10,2.5,Dichanthelium_oligosanthes,DO_Change_B10_B,0.0178,0.04,0.01,-2,1.86436,,0.445,104.7393258,,AP_Change_E33,#DIV/0!,,,,
06_02_2021,Change,B10,2.5,Dichanthelium_oligosanthes,DO_Change_B10_C,0.0253,0.05,0.02,-1.698970004,1.88976,,0.506,74.69407115,,AP_Change_E34,#DIV/0!,,,,
06_02_2021,Change,B12,20,Dichanthelium_oligosanthes,DO_Change_B12_A,0.0474,0.09,0.02,-1.698970004,2.87528,,0.526666667,60.65991561,,AP_Change_E37,#DIV/0!,,,,
06_02_2021,Change,B12,20,Dichanthelium_oligosanthes,DO_Change_B12_B,0.041,0.09,0.02,-1.698970004,2.7559,,0.455555556,67.21707317,,AP_Change_E40,#DIV/0!,,,,
06_02_2021,Change,B12,20,Dichanthelium_oligosanthes,DO_Change_B12_C,0.0204,0.06,0.01,-2,2.04216,,0.34,100.1058824,,AP_Change_F41,#DIV/0!,,,,
06_02_2021,Change,B15,10,Dichanthelium_oligosanthes,DO_Change_B15_A,0.0303,0.09,0.02,-1.698970004,2.64414,,0.336666667,87.26534653,,AP_Change_F44,#DIV/0!,,,,
06_02_2021,Change,B15,10,Dichanthelium_oligosanthes,DO_Change_B15_B,0.04,0.1,0.02,-1.698970004,2.55778,,0.4,63.9445,,AP_Change_F45,#DIV/0!,,,,
06_02_2021,Change,B15,10,Dichanthelium_oligosanthes,DO_Change_B15_C,0.0279,0.07,0.03,-1.522878745,1.96342,,0.398571429,70.3734767,,AP_Change_F48,#DIV/0!,,,,
06_02_2021,Change,C18,20,Dichanthelium_oligosanthes,DO_Change_C18_A,0.0445,0.08,0.03,-1.522878745,2.61366,,0.55625,58.73393258,,SM_Pplots_F1,#DIV/0!,,,,
06_02_2021,Change,C18,20,Dichanthelium_oligosanthes,DO_Change_C18_B,0.0199,0.04,0.01,-2,2.07772,,0.4975,104.4080402,,SM_Pplots_E5,#DIV/0!,,,,
06_02_2021,Change,C18,20,Dichanthelium_oligosanthes,DO_Change_C18_C,0.0407,0.11,0.02,-1.698970004,2.8956,,0.37,71.14496314,,SM_Pplots_C5,#DIV/0!,,,,
06_02_2021,Change,C19,10,Dichanthelium_oligosanthes,DO_Change_C19_A,0.0328,0.06,0.02,-1.698970004,2.0193,,0.546666667,61.56402439,,SM_Pplots_A5,#DIV/0!,,,,
06_02_2021,Change,C19,10,Dichanthelium_oligosanthes,DO_Change_C19_B,0.0356,0.06,0.02,-1.698970004,2.11074,,0.593333333,59.29044944,,SM_Pplots_D6,#DIV/0!,,,,
06_02_2021,Change,C19,10,Dichanthelium_oligosanthes,DO_Change_C19_C,0.0514,0.14,0.03,-1.522878745,3.37058,,0.367142857,65.57548638,,SM_Pplots_C6,#DIV/0!,,,,
06_02_2021,Change,C21,Control,Dichanthelium_oligosanthes,DO_Change_C21_A,0.0225,0.04,0.01,-2,2.08026,,0.5625,92.456,,SM_Pplots_B6, ,,,,
06_02_2021,Change,C21,Control,Dichanthelium_oligosanthes,DO_Change_C21_B,0.0333,0.07,0.02,-1.698970004,2.09042,,0.475714286,62.77537538,,SM_Pplots_D7,#DIV/0!,,,,
06_02_2021,Change,C21,Control,Dichanthelium_oligosanthes,DO_Change_C21_C,0.033,0.07,0.03,-1.522878745,2.159,,0.471428571,65.42424242,,SM_Pplots_C7,#DIV/0!,,,,
06_02_2021,Change,C22,2.5,Dichanthelium_oligosanthes,DO_Change_C22_A,0.0229,0.05,0.02,-1.698970004,1.55702,,0.458,67.99213974,,SM_Pplots_B7,#DIV/0!,,,,
06_02_2021,Change,C22,2.5,Dichanthelium_oligosanthes,DO_Change_C22_B,0.014,0.03,0.01,-2,1.5621,,0.466666667,111.5785714,,SM_Pplots_E8,#DIV/0!,,,,
06_02_2021,Change,C22,2.5,Dichanthelium_oligosanthes,DO_Change_C22_C,0.0232,0.05,0.02,-1.698970004,1.95326,,0.464,84.19224138,,SM_Pplots_F8,,,,,
06_02_2021,Change,D25,2.5,Dichanthelium_oligosanthes,DO_Change_D25_A,0.0252,0.04,0.01,-2,1.57226,,0.63,62.39126984,,SM_Nutnet_4(S1),,,,,
06_02_2021,Change,D25,2.5,Dichanthelium_oligosanthes,DO_Change_D25_B,0.0163,0.02,0.01,-2,1.18618,,0.815,72.77177914,,SM_Nutnet_4(S2),,,,,
06_02_2021,Change,D25,2.5,Dichanthelium_oligosanthes,DO_Change_D25_C,0.0241,0.02,0.02,-1.698970004,1.55194,,1.205,64.39585062,,SM_Nutnet_5(S1),#DIV/0!,,,,
06_02_2021,Change,D30,Control,Dichanthelium_oligosanthes,DO_Change_D30_A,0.0337,0.05,0.02,-1.698970004,2.18186,,0.674,64.74362018,,SM_Nutnet_5(S2),#DIV/0!,,,,
06_02_2021,Change,D30,Control,Dichanthelium_oligosanthes,DO_Change_D30_B,0.0345,0.04,0.02,-1.698970004,1.97612,,0.8625,57.27884058,,SM_Nutnet_14(S1),#DIV/0!,,,,
06_02_2021,Change,D30,Control,Dichanthelium_oligosanthes,DO_Change_D30_C,0.0271,0.04,0.02,-1.698970004,1.89738,,0.6775,70.01402214,,SM_Nutnet_14(S2),#DIV/0!,,,,
06_02_2021,Change,D31,10,Dichanthelium_oligosanthes,DO_Change_D31_A,0.0268,0.03,0.02,-1.698970004,1.71196,,0.893333333,63.87910448,,SM_Nutnet_18(S1),#DIV/0!,,,,
06_02_2021,Change,D31,10,Dichanthelium_oligosanthes,DO_Change_D31_B,0.0185,0.01,0.02,-1.698970004,1.22936,,1.85,66.45189189,,SM_Nutnet_18(S2),,,,,
06_02_2021,Change,D31,10,Dichanthelium_oligosanthes,DO_Change_D31_C,0.0281,0.03,0.02,-1.698970004,1.71196,,0.936666667,60.92384342,,SM_Nutnet_21(S1),#DIV/0!,,,,
06_02_2021,Change,D32,20,Dichanthelium_oligosanthes,DO_Change_D32_A,0.0325,0.02,0.02,-1.698970004,2.54254,,1.625,78.232,,SM_Nutnet_21(S2),#DIV/0!,,,,
06_02_2021,Change,D32,20,Dichanthelium_oligosanthes,DO_Change_D32_B,0.0099,0.01,0.01,-2,1.17602,,0.99,118.789899,,SM_Nutnet_25(S1),#DIV/0!,,,,
06_02_2021,Change,D32,20,Dichanthelium_oligosanthes,DO_Change_D32_C,0.0138,0.01,0.01,-2,1.08458,,1.38,78.59275362,,SM_Nutnet_25(S2),#DIV/0!,,,,
06_02_2021,Change,E33,Control,Dichanthelium_oligosanthes,DO_Change_E33_A,0.0196,0.02,0.02,-1.698970004,1.50368,,0.98,76.71836735,,SM_Change_A2,#DIV/0!,,,,
06_02_2021,Change,E33,Control,Dichanthelium_oligosanthes,DO_Change_E33_B,0.0185,0.01,0.02,-1.698970004,1.8923,,1.85,102.2864865,,SM_Change_A3,#DIV/0!,,,,
06_02_2021,Change,E33,Control,Dichanthelium_oligosanthes,DO_Change_E33_C,0.031,0.03,0.02,-1.698970004,2.16916,,1.033333333,69.97290323,,SM_Change_A6,#DIV/0!,,,,
06_02_2021,Change,E34,20,Dichanthelium_oligosanthes,DO_Change_E34_A,0.0238,0.04,0.03,-1.522878745,1.69418,,0.595,71.18403361,,SM_Change_A8,#DIV/0!,,,,
06_02_2021,Change,E34,20,Dichanthelium_oligosanthes,DO_Change_E34_B,0.025,0.04,0.02,-1.698970004,2.03962,,0.625,81.5848,,SM_Change_B9,#DIV/0!,,,,
06_02_2021,Change,E34,20,Dichanthelium_oligosanthes,DO_Change_E34_C,0.0113,0.04,0.01,-2,0.89154,,0.2825,78.89734513,,SM_Change_B10,#DIV/0!,,,,
06_02_2021,Change,E37,2.5,Dichanthelium_oligosanthes,DO_Change_E37_A,0.0244,0.02,0.03,-1.522878745,1.51384,,1.22,62.04262295,,SM_Change_B12,#DIV/0!,,,,
06_02_2021,Change,E37,2.5,Dichanthelium_oligosanthes,DO_Change_E37_B,0.0232,0.02,0.02,-1.698970004,1.9304,,1.16,83.20689655,,SM_Change_B15,#DIV/0!,,,,
06_02_2021,Change,E37,2.5,Dichanthelium_oligosanthes,DO_Change_E37_C,0.0314,0.06,0.03,-1.522878745,1.91262,,0.523333333,60.91146497,,SM_Change_C18,#DIV/0!,,,,
06_02_2021,Change,E40,10,Dichanthelium_oligosanthes,DO_Change_E40_A,0.0372,0.07,0.02,-1.698970004,2.72796,,0.531428571,73.33225806,,SM_Change_C19,#DIV/0!,,,,
06_02_2021,Change,E40,10,Dichanthelium_oligosanthes,DO_Change_E40_B,0.053,0.09,0.03,-1.522878745,2.72542,,0.588888889,51.42301887,,SM_Change_C21,#DIV/0!,,,,
06_02_2021,Change,E40,10,Dichanthelium_oligosanthes,DO_Change_E40_C,0.0375,0.06,0.02,-1.698970004,2.6035,,0.625,69.42666667,,SM_Change_C22,#DIV/0!,,,,
